Year,Tropical Storms,Hurricanes,Major Hurricanes,Total
1851,6,3,1,10
1852,5,5,1,11
1853,8,4,2,14
1854,5,3,1,9
1855,5,4,1,10
1856,6,4,2,12
1857,4,3,0,7
1858,6,6,0,12
1859,8,7,1,16
1860,7,6,1,14
1861,8,6,0,14
1862,6,3,0,9
1863,9,5,0,14
1864,5,3,0,8
1865,7,3,0,10
1866,7,6,1,14
1867,9,7,1,17
1868,4,3,0,7
1869,10,7,1,18
1870,11,10,2,23
1871,8,6,2,16
1872,5,4,0,9
1873,5,3,2,10
1874,7,4,0,11
1875,6,5,1,12
1876,5,4,2,11
1877,8,3,1,12
1878,12,10,2,24
1879,8,6,2,16
1880,11,9,2,22
1881,7,4,0,11
1882,6,4,2,12
1883,4,3,2,9
1884,4,4,1,9
1885,8,6,0,14
1886,12,10,4,26
1887,19,11,2,32
1888,9,6,2,17
1889,9,6,0,15
1890,4,2,1,7
1891,10,7,1,18
1892,9,5,0,14
1893,12,10,5,27
1894,7,5,4,16
1895,6,2,0,8
1896,7,6,2,15
1897,6,3,0,9
1898,11,5,1,17
1899,10,5,2,17
1900,7,3,2,12
1901,13,6,0,19
1902,5,3,0,8
1903,10,7,1,18
1904,6,4,0,10
1905,5,1,1,7
1906,11,6,3,20
1907,5,0,0,5
1908,10,6,1,17
1909,12,6,4,22
1910,5,3,1,9
1911,6,3,0,9
1912,7,4,1,12
1913,6,4,0,10
1914,1,0,0,1
1915,6,5,3,14
1916,15,10,5,30
1917,4,2,2,8
1918,6,4,1,11
1919,5,2,1,8
1920,5,4,0,9
1921,7,5,2,14
1922,5,3,1,9
1923,9,4,1,14
1924,11,5,2,18
1925,4,1,0,5
1926,11,8,6,25
1927,8,4,1,13
1928,6,4,1,11
1929,5,3,1,9
1930,3,2,2,7
1931,13,3,1,17
1932,15,6,4,25
1933,20,11,6,37
1934,13,7,1,21
1935,8,5,3,16
1936,17,7,1,25
1937,11,4,1,16
1938,9,4,2,15
1939,6,3,1,10
1940,9,6,0,15
1941,6,4,3,13
1942,11,4,1,16
1943,10,5,2,17
1944,14,8,3,25
1945,11,5,2,18
1946,7,3,0,10
1947,10,5,2,17
1948,10,6,4,20
1949,16,7,2,25
1950,16,11,6,33
1951,12,8,3,23
1952,11,5,2,18
1953,14,7,3,24
1954,16,7,3,26
1955,13,9,4,26
1956,8,4,2,14
1957,8,3,2,13
1958,10,7,5,22
1959,11,7,2,20
1960,7,4,2,13
1961,11,8,7,26
1962,5,3,1,9
1963,9,7,2,18
1964,12,6,6,24
1965,6,4,1,11
1966,11,7,3,21
1967,8,6,1,15
1968,8,5,0,13
1969,18,12,5,35
1970,10,5,2,17
1971,13,6,1,20
1972,7,3,0,10
1973,8,4,1,13
1974,11,4,2,17
1975,9,6,3,18
1976,10,6,2,18
1977,6,5,1,12
1978,12,5,2,19
1979,9,6,2,17
1980,11,9,2,22
1981,12,7,3,22
1982,6,2,1,9
1983,4,3,1,8
1984,13,5,1,19
1985,11,7,3,21
1986,6,4,0,10
1987,7,3,1,11
1988,12,5,3,20
1989,11,7,2,20
1990,14,8,1,23
1991,8,4,2,14
1992,7,4,1,12
1993,8,4,1,13
1994,7,3,0,10
1995,19,11,5,35
1996,13,9,6,28
1997,8,3,1,12
1998,14,10,3,27
1999,12,8,5,25
2000,15,8,3,26
2001,15,9,4,28
2002,12,4,2,18
2003,16,7,3,26
2004,15,9,6,30
2005,28,15,7,50
2006,10,5,2,17
2007,15,6,2,23
2008,16,8,5,29
2009,9,3,2,14
2010,19,12,5,36
2011,19,7,4,30
2012,19,10,2,31
2013,14,2,0,16
2014,8,6,2,16
2015,11,4,2,17
2016,15,7,4,26
2017,17,10,6,33
2018,15,8,2,25
2019,18,6,3,27
2020,30,14,7,51
2021,21,7,4,32
2022,14,8,2,24
