Season,ENSO Type,El Nino,La Nina,Severity,Value
1950,,,,0,0
1951,ME,1,,2,2
1952,WE,1,,1,1
1953,WE,1,,1,1
1954,WL,,1,1,-1
1955,ML,,1,2,-2
1956,,,,0,0
1957,SE,1,,3,3
1958,WE,1,,1,1
1959,,,,0,0
1960,,,,0,0
1961,,,,0,0
1962,,,,0,0
1963,ME,1,,2,2
1964,WL,,1,1,-1
1965,SE,1,,3,3
1966,,,,0,0
1967,,,,0,0
1968,ME,1,,2,2
1969,WE,1,,1,1
1970,ML,,1,2,-2
1971,WL,,1,1,-1
1972,SE,1,,3,3
1973,SL,,1,3,-3
1974,WL,,1,1,-1
1975,SL,,1,3,-3
1976,WE,1,,1,1
1977,WE,1,,1,1
1978,,,,0,0
1979,WE,1,,1,1
1980,,,,0,0
1981,,,,0,0
1982,VSE,1,,4,4
1983,WL,,1,1,-1
1984,WL,,1,1,-1
1985,,,,0,0
1986,ME,1,,2,2
1987,SE,1,,3,3
1988,SL,,1,3,-3
1989,,,,0,0
1990,,,,0,0
1991,SE,1,,3,3
1992,,,,0,0
1993,,,,0,0
1994,ME,1,,2,2
1995,ML,,,2,0
1996,,,,0,0
1997,VSE,1,,4,4
1998,SL,,1,3,-3
1999,SL,,1,3,-3
2000,WL,,1,1,-1
2001,,,,0,0
2002,ME,1,,2,2
2003,,,,0,0
2004,WE,1,,1,1
2005,WL,,1,1,-1
2006,WE,1,,1,1
2007,SL,,1,3,-3
2008,WL,,1,1,-1
2009,ME,1,,2,2
2010,SL,,1,3,-3
2011,ML,,1,2,-2
2012,,,,0,0
2013,,,,0,0
2014,WE,1,,1,1
2015,VSE,1,,4,4
2016,WL,,1,1,-1
2017,WL,,1,1,-1
2018,WE,1,,1,1
2019,,,,0,0
2020,ML,,1,2,-2
2021,ML,,1,2,-2
2022,ML,,1,2,-2
2023,ME,1,,2,2
